Side Member,dia.,Common,Box,Sinker,0.67,0.55,0.5,0.49,0.46,0.43,0.42,0.37,0.36,0.35
,,,,,lbs.,lbs.,lbs.,lbs.,lbs.,lbs.,lbs.,lbs.,lbs.,lbs.
1-1/2,0.162,16d,40d,,184,154,141,138,131,122,120,106,104,101
